2025-01-27T17:43:16.419632Z [info     ] 2025-01-27 14:43:16,419 | INFO     | tap-csv.suppliers    | Beginning full_table sync of 'suppliers'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.419724Z [info     ] 2025-01-27 14:43:16,419 | INFO     | tap-csv.suppliers    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.420816Z [info     ] 2025-01-27 14:43:16,420 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0010561943054199219, "tags": {"stream": "suppliers", "pid": 99117, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.421000Z [info     ] 2025-01-27 14:43:16,420 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 29, "tags": {"stream": "suppliers", "pid": 99117, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.421125Z [info     ] 2025-01-27 14:43:16,420 | INFO     | tap-csv.territories  | Beginning full_table sync of 'territories'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.421245Z [info     ] 2025-01-27 14:43:16,420 | INFO     | tap-csv.territories  | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.422397Z [info     ] 2025-01-27 14:43:16,422 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0012738704681396484, "tags": {"stream": "territories", "pid": 99117, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.422593Z [info     ] 2025-01-27 14:43:16,422 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 53, "tags": {"stream": "territories", "pid": 99117, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.422729Z [info     ] 2025-01-27 14:43:16,422 | INFO     | tap-csv.us_states    | Beginning full_table sync of 'us_states'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.422868Z [info     ] 2025-01-27 14:43:16,422 | INFO     | tap-csv.us_states    | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.423921Z [info     ] 2025-01-27 14:43:16,423 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.001251220703125, "tags": {"stream": "us_states", "pid": 99117, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.424056Z [info     ] 2025-01-27 14:43:16,423 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 51, "tags": {"stream": "us_states", "pid": 99117, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=tap-csv
2025-01-27T17:43:16.518185Z [info     ] 2025-01-27 14:43:16,518 | INFO     | target-postgres      | Target 'target-postgres' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=target-postgres
2025-01-27T17:43:16.518401Z [info     ] 2025-01-27 14:43:16,518 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=target-postgres
2025-01-27T17:43:16.518527Z [info     ] 2025-01-27 14:43:16,518 | INFO     | target-postgres.categories | Initializing target sink for stream 'categories'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=target-postgres
2025-01-27T17:43:16.704124Z [info     ] 2025-01-27 14:43:16,703 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=target-postgres
2025-01-27T17:43:16.704411Z [info     ] 2025-01-27 14:43:16,704 | INFO     | target-postgres.customers | Initializing target sink for stream 'customers'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=50c47b24-c1f7-42c1-aa13-a509be8f5d36 stdio=stderr string_id=target-postgres
