2025-01-26T20:32:12.868284Z [info     ] 2025-01-26 17:32:12,867 | INFO     | tap-csv.public-territories | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=tap-csv
2025-01-26T20:32:12.869596Z [info     ] 2025-01-26 17:32:12,869 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0015301704406738281, "tags": {"stream": "public-territories", "pid": 23627, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=tap-csv
2025-01-26T20:32:12.869790Z [info     ] 2025-01-26 17:32:12,869 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 53, "tags": {"stream": "public-territories", "pid": 23627, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=tap-csv
2025-01-26T20:32:12.869930Z [info     ] 2025-01-26 17:32:12,869 | INFO     | tap-csv.public-us_states | Beginning full_table sync of 'public-us_states'... cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=tap-csv
2025-01-26T20:32:12.870077Z [info     ] 2025-01-26 17:32:12,869 | INFO     | tap-csv.public-us_states | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=tap-csv
2025-01-26T20:32:12.871801Z [info     ] 2025-01-26 17:32:12,871 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.0018877983093261719, "tags": {"stream": "public-us_states", "pid": 23627, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=tap-csv
2025-01-26T20:32:12.871999Z [info     ] 2025-01-26 17:32:12,871 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 51, "tags": {"stream": "public-us_states", "pid": 23627, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-csv-to-target-postgres name=tap-csv producer=True run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=tap-csv
2025-01-26T20:32:12.921763Z [info     ] 2025-01-26 17:32:12,921 | INFO     | target-postgres      | Target 'target-postgres' is listening for input from tap. cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=target-postgres
2025-01-26T20:32:12.922141Z [info     ] 2025-01-26 17:32:12,921 | INFO     | target-postgres      | Initializing 'target-postgres' target sink... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=target-postgres
2025-01-26T20:32:12.922326Z [info     ] 2025-01-26 17:32:12,921 | INFO     | target-postgres.order_details | Initializing target sink for stream 'order_details'... cmd_type=elb consumer=True job_name=dev:tap-csv-to-target-postgres name=target-postgres producer=False run_id=73c7986d-b85c-4847-baf7-bafc24c6dbe4 stdio=stderr string_id=target-postgres
