2025-01-26T21:28:49.675684Z [info     ] 2025-01-26 18:28:49,675 | INFO     | tap-postgres.public-products | Beginning full_table sync of 'public-products'... cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=tap-postgres
2025-01-26T21:28:49.675757Z [info     ] 2025-01-26 18:28:49,675 | INFO     | tap-postgres.public-products | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=tap-postgres
2025-01-26T21:28:49.680018Z [info     ] 2025-01-26 18:28:49,679 | INFO     | target-csv.customers | Setting up customers cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=target-csv
2025-01-26T21:28:49.688573Z [info     ] 2025-01-26 18:28:49,688 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=target-csv
2025-01-26T21:28:49.689270Z [info     ] 2025-01-26 18:28:49,688 | INFO     | target-csv.employee_territories | Initializing target sink for stream 'employee_territories'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=target-csv
2025-01-26T21:28:49.690280Z [info     ] 2025-01-26 18:28:49,690 | INFO     | target-csv.employee_territories | Setting up employee_territories cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=target-csv
2025-01-26T21:28:49.691947Z [info     ] 2025-01-26 18:28:49,691 | INFO     | target-csv           | Initializing 'target-csv' target sink... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=target-csv
2025-01-26T21:28:49.692116Z [info     ] 2025-01-26 18:28:49,691 | INFO     | target-csv.employees | Initializing target sink for stream 'employees'... cmd_type=elb consumer=True job_name=dev:tap-postgres-to-target-csv name=target-csv producer=False run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=target-csv
2025-01-26T21:28:49.694546Z [info     ] 2025-01-26 18:28:49,694 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.01879715919494629, "tags": {"stream": "public-products", "pid": 33966, "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=tap-postgres
2025-01-26T21:28:49.694711Z [info     ] 2025-01-26 18:28:49,694 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 77, "tags": {"stream": "public-products", "pid": 33966, "context": {}}} cmd_type=elb consumer=False job_name=dev:tap-postgres-to-target-csv name=tap-postgres producer=True run_id=7298ee31-e509-409d-ba5a-2a76e17c7204 stdio=stderr string_id=tap-postgres
